ip.len,udp.length,dns.flags.authoritative,dns.flags.recdesired,dns.flags.recavail,dns.flags.checkdisable,dns.count.answers,dns.count.auth_rr,dns.qry.type,target
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
821.0,801.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
804.0,784.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
556.0,536.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
803.0,783.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
831.0,811.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
563.0,543.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,4012.0,0.0,1.0,1.0,0.0,13.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
804.0,784.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
337.0,317.0,1.0,0.0,0.0,1.0,3.0,0.0,43.0,0.0
1492.0,3319.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
809.0,789.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
803.0,783.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3538.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
1500.0,3463.0,0.0,1.0,1.0,0.0,13.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
773.0,753.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
828.0,808.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1492.0,3562.0,0.0,1.0,1.0,0.0,10.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
533.0,513.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
811.0,791.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
797.0,777.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3915.0,0.0,1.0,1.0,0.0,9.0,0.0,255.0,1.0
1500.0,3364.0,0.0,1.0,1.0,0.0,8.0,0.0,255.0,1.0
1492.0,3308.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
362.0,342.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
583.0,563.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3311.0,0.0,1.0,1.0,0.0,200.0,2.0,255.0,1.0
802.0,782.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,4014.0,0.0,1.0,1.0,0.0,14.0,0.0,255.0,1.0
806.0,786.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
714.0,694.0,0.0,1.0,1.0,0.0,6.0,0.0,255.0,1.0
795.0,775.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
809.0,789.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3215.0,0.0,1.0,1.0,0.0,198.0,0.0,255.0,1.0
787.0,767.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
816.0,796.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
361.0,341.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
780.0,760.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
390.0,370.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
804.0,784.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1203.0,1183.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
111.0,91.0,0.0,1.0,1.0,0.0,1.0,0.0,255.0,1.0
1500.0,3364.0,0.0,1.0,1.0,0.0,8.0,0.0,255.0,1.0
1500.0,3661.0,0.0,1.0,1.0,0.0,15.0,0.0,255.0,1.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
359.0,339.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
1500.0,3915.0,0.0,1.0,1.0,0.0,9.0,0.0,255.0,1.0
812.0,792.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3308.0,0.0,1.0,1.0,0.0,201.0,2.0,255.0,1.0
558.0,538.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
563.0,543.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
825.0,805.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
850.0,830.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,0.0
351.0,331.0,0.0,0.0,0.0,1.0,0.0,4.0,12.0,0.0
532.0,512.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,2436.0,0.0,1.0,1.0,0.0,12.0,0.0,255.0,1.0
380.0,360.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,0.0
555.0,535.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3364.0,0.0,1.0,1.0,0.0,8.0,0.0,255.0,1.0
583.0,563.0,1.0,0.0,0.0,1.0,0.0,4.0,43.0,0.0
1500.0,3323.0,0.0,1.0,1.0,0.0,201.0,0.0,255.0,1.0
